MGRNO,Inst. Name,CIK,Date,Street 1,Street 2,CITY,State,ZIP,DocumentURL,SeriesName,ClassContract,Mail Address
160,"650 HIGH INCOME FUND,INC. ",0001000401,2006-08-31,ONE LIBERTY PLAZA,"165 BROADWAY, 36TH FLOOR",NEW YORK,NY,10006-1404,https://www.sec.gov/Archives/edgar/data/1000401/000090873706000650/0000908737-06-000650-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2005-08-29,ONE LIBERTY PLAZA,"165 BROADWAY, 36TH FLOOR",NEW YORK,NY,10006-1404,https://www.sec.gov/Archives/edgar/data/1000401/000090873705000642/0000908737-05-000642-index.htm,,,
160,"650 HIGH INCOME FUND,INC. ",0001000401,2004-08-31,ONE LIBERTY PLAZA,"165 BROADWAY, 36TH FLOOR",NEW YORK,NY,10006-1404,https://www.sec.gov/Archives/edgar/data/1000401/000090873704000664/0000908737-04-000664-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2018-07-27,500 EAST PRATT STREET,SUITE 1300,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223018000029/0000002230-18-000029-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2017-07-21,500 EAST PRATT STREET,SUITE 1300,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223017000035/0000002230-17-000035-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2016-07-22,500 EAST PRATT STREET,SUITE 1300,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223016000104/0000002230-16-000104-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2015-08-26,500 EAST PRATT STREET,SUITE 1300,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223015000062/0000002230-15-000062-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2014-07-18,SEVEN ST PAUL STREET,SUITE 1140,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223014000071/0000002230-14-000071-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2013-07-30,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223013000062/0000002230-13-000062-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2012-07-20,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223012000048/0000002230-12-000048-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2011-07-22,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223011000063/0000002230-11-000063-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2010-07-21,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223010000062/0000002230-10-000062-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2009-07-20,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223009000055/0000002230-09-000055-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2008-07-10,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223008000055/0000002230-08-000055-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2007-07-13,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223007000061/0000002230-07-000061-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2006-07-13,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223006000041/0000002230-06-000041-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2005-07-20,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223005000031/0000002230-05-000031-index.htm,,,
260,"ADAMS DIVERSIFIED EQUITY FUND, INC. ",0000002230,2004-08-27,SEVEN ST PAUL ST STE 1140,,BALTIMORE,MD,21202,https://www.sec.gov/Archives/edgar/data/2230/000000223004000043/0000002230-04-000043-index.htm,,,
440,ADVANCE CAPITAL I INC ,0000813470,2016-08-22,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000151597116000592/0001515971-16-000592-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2015-08-24,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000151597115000311/0001515971-15-000311-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2014-08-29,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000151597114000395/0001515971-14-000395-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2013-08-27,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000151597113000399/0001515971-13-000399-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2012-08-29,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347012000020/0000813470-12-000020-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2011-08-25,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000095012311079938/0000950123-11-079938-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2010-08-25,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347010000009/0000813470-10-000009-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2009-08-21,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347009000010/0000813470-09-000010-index.htm,"S000009763
S000009764
S000009765
S000019920
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2008-08-11,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347008000017/0000813470-08-000017-index.htm,"S000009763
S000009764
S000019920
","C000026827
C000049123
C000026828
C000049124
C000055905
C000055906
",
440,ADVANCE CAPITAL I INC ,0000813470,2007-08-09,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347007000018/0000813470-07-000018-index.htm,"S000009763
S000009764
S000009765
","C000026827
C000049123
C000026828
C000049124
C000026829
C000049125
",
440,ADVANCE CAPITAL I INC ,0000813470,2006-08-24,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347006000016/0000813470-06-000016-index.htm,"S000009763
S000009764
S000009765
S000009766
","C000026827
C000026828
C000026829
C000026830
",
440,ADVANCE CAPITAL I INC ,0000813470,2005-08-30,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347005000013/0000813470-05-000013-index.htm,,,
440,ADVANCE CAPITAL I INC ,0000813470,2004-08-31,ONE TOWNE SQUARE,SUITE 444,SOUTHFIELD,MI,48076,https://www.sec.gov/Archives/edgar/data/813470/000081347004000013/0000813470-04-000013-index.htm,,,
500,ING INVESTMENT FUNDS INC ,0000061448,2008-08-20,7337 E DOUBLETREE RANCH ROAD,,SCOTTSDALE,AZ,85258,https://www.sec.gov/Archives/edgar/data/61448/000095015308001519/0000950153-08-001519-index.htm,"S000008474
","C000023231
C000023232
C000023233
C000023234
C000023235
",
500,ING INVESTMENT FUNDS INC ,0000061448,2007-08-29,7337 E DOUBLETREE RANCH ROAD,,SCOTTSDALE,AZ,85258,https://www.sec.gov/Archives/edgar/data/61448/000089256907001153/0000892569-07-001153-index.htm,"S000008474
","C000023231
C000023232
C000023233
C000023234
C000023235
",
500,ING INVESTMENT FUNDS INC ,0000061448,2006-08-30,7337 E DOUBLETREE RANCH ROAD,,SCOTTSDALE,AZ,85258,https://www.sec.gov/Archives/edgar/data/61448/000110465906058257/0001104659-06-058257-index.htm,"S000008474
","C000023231
C000023232
C000023233
C000023234
C000023235
",
500,ING INVESTMENT FUNDS INC ,0000061448,2005-08-30,7337 E DOUBLETREE RANCH ROAD,,SCOTTSDALE,AZ,85258,https://www.sec.gov/Archives/edgar/data/61448/000095015305002213/0000950153-05-002213-index.htm,,,
500,ING INVESTMENT FUNDS INC ,0000061448,2004-08-30,7337 E DOUBLETREE RANCH ROAD,,SCOTTSDALE,AZ,85258,https://www.sec.gov/Archives/edgar/data/61448/000095012404004069/0000950124-04-004069-index.htm,,,
980,AMG Funds IV ,0000912036,2018-08-30,600 STEAMBOAT ROAD,SUITE 300,GREENWICH,CT,06830,https://www.sec.gov/Archives/edgar/data/912036/000143893418000541/0001438934-18-000541-index.htm,"S000001114
S000001115
S000001125
S000001129
S000001130
S000001133
S000016733
S000019445
S000025232
S000030192
S000030896
S000033266
S000035207
S000037439
S000044915
S000044916
S000047666
S000051381
S000052045
","C000003009
C000003010
C000003011
C000003012
C000003013
C000180060
C000003029
C000003030
C000194566
C000003037
C000050291
C000194567
C000003038
C000040086
C000194568
C000003044
C000003045
C000046749
C000050292
C000194569
C000054065
C000141652
C000075197
C000088830
C000092914
C000101741
C000095864
C000124491
C000194570
C000102286
C000102287
C000194571
C000108308
C000108309
C000194572
C000115584
C000115585
C000194573
C000139352
C000139353
C000139354
C000139355
C000194574
C000149636
C000149637
C000161967
C000161968
C000194575
C000163774
C000163775
",
980,AMG Funds IV ,0000912036,2017-08-31,600 STEAMBOAT ROAD,SUITE 300,GREENWICH,CT,06830,https://www.sec.gov/Archives/edgar/data/912036/000143893417000531/0001438934-17-000531-index.htm,"S000001114
S000001115
S000001125
S000001129
S000001130
S000001133
S000016733
S000019445
S000025232
S000030192
S000030896
S000033266
S000035207
S000037439
S000044915
S000044916
S000047666
S000051381
S000052045
","C000003009
C000003010
C000003011
C000003012
C000003013
C000180060
C000003029
C000003030
C000194566
C000003037
C000050291
C000194567
C000003038
C000040086
C000194568
C000003044
C000003045
C000046749
C000050292
C000194569
C000054065
C000141652
C000075197
C000088830
C000092914
C000101741
C000095864
C000124491
C000194570
C000102286
C000102287
C000194571
C000108308
C000108309
C000194572
C000115584
C000115585
C000194573
C000139352
C000139353
C000139354
C000139355
C000194574
C000149636
C000149637
C000161967
C000161968
C000194575
C000163774
C000163775
",
980,AMG Funds IV ,0000912036,2017-08-31,600 STEAMBOAT ROAD,SUITE 300,GREENWICH,CT,06830,https://www.sec.gov/Archives/edgar/data/912036/000143893417000528/0001438934-17-000528-index.htm,"S000001114
S000001115
S000001125
S000001129
S000001130
S000001133
S000016733
S000019445
S000025232
S000030192
S000030896
S000033266
S000035207
S000037439
S000044915
S000044916
S000047666
S000051381
S000052045
","C000003009
C000003010
C000003011
C000003012
C000003013
C000180060
C000003029
C000003030
C000194566
C000003037
C000050291
C000194567
C000003038
C000040086
C000194568
C000003044
C000003045
C000046749
C000050292
C000194569
C000054065
C000141652
C000075197
C000088830
C000092914
C000101741
C000095864
C000124491
C000194570
C000102286
C000102287
C000194571
C000108308
C000108309
C000194572
C000115584
C000115585
C000194573
C000139352
C000139353
C000139354
C000139355
C000194574
C000149636
C000149637
C000161967
C000161968
C000194575
C000163774
C000163775
",
980,AMG Funds IV ,0000912036,2016-08-19,"120 N. LASALLE STREET, 25TH FLOOR",,CHICAGO,IL,60602,https://www.sec.gov/Archives/edgar/data/912036/000143893416000729/0001438934-16-000729-index.htm,"S000001114
S000001115
S000001116
S000001119
S000001120
S000001125
S000001129
S000001130
S000001133
S000001135
S000016733
S000019442
S000019445
S000020470
S000025232
S000028305
S000030192
S000030801
S000030896
S000033266
S000035207
S000037439
S000040201
S000044915
S000044916
S000047666
S000047667
S000049102
S000051381
S000052045
","C000003009
C000003010
C000003011
C000003012
C000003013
C000003014
C000111510
C000003018
C000003019
C000003020
C000003021
C000003029
C000003030
C000003037
C000050291
C000003038
C000040086
C000003044
C000003045
C000003048
C000003049
C000046749
C000050292
C000054062
C000088828
C000054065
C000141652
C000057417
C000088829
C000075197
C000088830
C000086480
C000098184
C000092914
C000101741
C000095458
C000101740
C000095864
C000124491
C000102286
C000102287
C000108308
C000108309
C000115584
C000115585
C000124953
C000124954
C000139352
C000139353
C000139354
C000139355
C000149636
C000149637
C000149638
C000149639
C000154843
C000154844
C000161967
C000161968
C000163774
C000163775
",
980,AMG Funds IV ,0000912036,2015-08-19,"120 N. LASALLE STREET, 25TH FLOOR",,CHICAGO,IL,60602,https://www.sec.gov/Archives/edgar/data/912036/000143893415000267/0001438934-15-000267-index.htm,"S000001114
S000001115
S000001116
S000001119
S000001120
S000001125
S000001129
S000001130
S000001133
S000001135
S000016733
S000019442
S000019445
S000020470
S000025232
S000028305
S000030192
S000030801
S000030896
S000033266
S000035207
S000037439
S000040201
S000044915
S000044916
S000047666
S000047667
S000049102
S000051381
","C000003009
C000003010
C000003011
C000003012
C000003013
C000003014
C000111510
C000003018
C000003019
C000003020
C000003021
C000003029
C000003030
C000003037
C000050291
C000003038
C000040086
C000003044
C000003045
C000003048
C000003049
C000046749
C000050292
C000054062
C000088828
C000054065
C000141652
C000057417
C000088829
C000075197
C000088830
C000086480
C000098184
C000092914
C000101741
C000095458
C000101740
C000095864
C000124491
C000102286
C000102287
C000108308
C000108309
C000115584
C000115585
C000124953
C000124954
C000139352
C000139353
C000139354
C000139355
C000149636
C000149637
C000149638
C000149639
C000154843
C000154844
C000161967
C000161968
",
980,AMG Funds IV ,0000912036,2014-08-20,"120 N. LASALLE STREET, 25TH FLOOR",,CHICAGO,IL,60602,https://www.sec.gov/Archives/edgar/data/912036/000143893414000271/0001438934-14-000271-index.htm,"S000001114
S000001115
S000001116
S000001119
S000001120
S000001125
S000001129
S000001130
S000001133
S000001135
S000016733
S000019442
S000019445
S000020470
S000025232
S000028305
S000030192
S000030801
S000030896
S000033266
S000035207
S000037439
S000040201
S000044915
S000044916
","C000003009
C000003010
C000003011
C000003012
C000003013
C000003014
C000111510
C000003018
C000003019
C000003020
C000003021
C000003029
C000003030
C000003037
C000050291
C000003038
C000040086
C000003044
C000003045
C000003048
C000003049
C000046749
C000050292
C000054062
C000088828
C000054065
C000141652
C000057417
C000088829
C000075197
C000088830
C000086480
C000098184
C000092914
C000101741
C000095458
C000101740
C000095864
C000124491
C000102286
C000102287
C000108308
C000108309
C000115584
C000115585
C000124953
C000124954
C000139352
C000139353
C000139354
C000139355
",
